ID,Question,Intent,Tables,Columns,Filters,Joins,Raw_JSON
25,Get products with product line description,SELECT,products,"products.*, products.productLine",None,None,"{""intent"":""SELECT"",""tables"":""products"",""columns"":""products.*, products.productLine"",""filters"":""None"",""joins"":""None""}"
26,Get customers with sales rep names,JOIN,"customers, employees","customers.*, employees.firstName, employees.lastName",None,customers.salesRepEmployeeNumber = employees.employeeNumber,"{""intent"":""JOIN"",""tables"":""customers, employees"",""columns"":""customers.*, employees.firstName, employees.lastName"",""filters"":""None"",""joins"":""customers.salesRepEmployeeNumber = employees.employeeNumber""}"
27,Get orders with customer city,JOIN,"orders, customers","orders.*, customers.city",None,orders.customerNumber = customers.customerNumber,"{""intent"":""JOIN"",""tables"":""orders, customers"",""columns"":""orders.*, customers.city"",""filters"":""None"",""joins"":""orders.customerNumber = customers.customerNumber""}"
28,Get employees and their manager,JOIN,"employees AS E, employees AS M","E.firstName AS EmployeeFirstName, E.lastName AS EmployeeLastName, M.firstName AS ManagerFirstName, M.lastName AS ManagerLastName",None,E.reportsTo = M.employeeNumber,"{""intent"":""JOIN"",""tables"":""employees AS E, employees AS M"",""columns"":""E.firstName AS EmployeeFirstName, E.lastName AS EmployeeLastName, M.firstName AS ManagerFirstName, M.lastName AS ManagerLastName"",""filters"":""None"",""joins"":""E.reportsTo = M.employeeNumber""}"
29,Get orderdetails with product vendor,JOIN,"orderdetails, products","orderdetails.*, products.productVendor",None,orderdetails.productCode = products.productCode,"{""intent"":""JOIN"",""tables"":""orderdetails, products"",""columns"":""orderdetails.*, products.productVendor"",""filters"":""None"",""joins"":""orderdetails.productCode = products.productCode""}"
30,Get payments with customer country,JOIN,"payments, customers","payments.*, customers.country",None,payments.customerNumber = customers.customerNumber,"{""intent"":""JOIN"",""tables"":""payments, customers"",""columns"":""payments.*, customers.country"",""filters"":""None"",""joins"":""payments.customerNumber = customers.customerNumber""}"
31,Count customers per country,AGGREGATION,customers,"country, COUNT(customerNumber)",None,None,"{""intent"":""AGGREGATION"",""tables"":""customers"",""columns"":""country, COUNT(customerNumber)"",""filters"":""None"",""joins"":""None""}"
32,Total payments per customer,AGGREGATION,payments,"customerNumber, SUM(amount)",None,None,"{""intent"":""AGGREGATION"",""tables"":""payments"",""columns"":""customerNumber, SUM(amount)"",""filters"":""None"",""joins"":""None""}"
33,Number of orders per status,AGGREGATION,orders,"status, COUNT(orderNumber)",None,None,"{""intent"":""AGGREGATION"",""tables"":""orders"",""columns"":""status, COUNT(orderNumber)"",""filters"":""None"",""joins"":""None""}"
34,Products per product line,AGGREGATION,products,"productLine, COUNT(productCode)",None,None,"{""intent"":""AGGREGATION"",""tables"":""products"",""columns"":""productLine, COUNT(productCode)"",""filters"":""None"",""joins"":""None""}"
35,Employees per office,AGGREGATION,employees,"officeCode, COUNT(employeeNumber)",None,None,"{""intent"":""AGGREGATION"",""tables"":""employees"",""columns"":""officeCode, COUNT(employeeNumber)"",""filters"":""None"",""joins"":""None""}"
36,Total stock per product vendor,AGGREGATION,products,"productVendor, SUM(quantityInStock)",None,None,"{""intent"":""AGGREGATION"",""tables"":""products"",""columns"":""productVendor, SUM(quantityInStock)"",""filters"":""None"",""joins"":""None""}"
37,Average buy price per product line,AGGREGATION,products,"productLine, AVG(buyPrice)",None,None,"{""intent"":""AGGREGATION"",""tables"":""products"",""columns"":""productLine, AVG(buyPrice)"",""filters"":""None"",""joins"":""None""}"
38,Orders per customer,AGGREGATION,orders,"customerNumber, COUNT(orderNumber)",None,None,"{""intent"":""AGGREGATION"",""tables"":""orders"",""columns"":""customerNumber, COUNT(orderNumber)"",""filters"":""None"",""joins"":""None""}"
39,Max MSRP per product line,AGGREGATION,products,"productLine, MAX(MSRP)",None,None,"{""intent"":""AGGREGATION"",""tables"":""products"",""columns"":""productLine, MAX(MSRP)"",""filters"":""None"",""joins"":""None""}"
40,Min buy price per vendor,AGGREGATION,products,"productVendor, MIN(buyPrice)",None,None,"{""intent"":""AGGREGATION"",""tables"":""products"",""columns"":""productVendor, MIN(buyPrice)"",""filters"":""None"",""joins"":""None""}"
41,Total number of customers,AGGREGATION,customers,COUNT(customerNumber),None,None,"{""intent"":""AGGREGATION"",""tables"":""customers"",""columns"":""COUNT(customerNumber)"",""filters"":""None"",""joins"":""None""}"
42,Total number of products,AGGREGATION,products,COUNT(productCode),None,None,"{""intent"":""AGGREGATION"",""tables"":""products"",""columns"":""COUNT(productCode)"",""filters"":""None"",""joins"":""None""}"
43,Total revenue from payments,AGGREGATION,payments,SUM(amount),None,None,"{""intent"":""AGGREGATION"",""tables"":""payments"",""columns"":""SUM(amount)"",""filters"":""None"",""joins"":""None""}"
44,Average product price,AGGREGATION,products,AVG(MSRP),None,None,"{""intent"":""AGGREGATION"",""tables"":""products"",""columns"":""AVG(MSRP)"",""filters"":""None"",""joins"":""None""}"
45,Max payment amount,AGGREGATION,payments,MAX(amount),None,None,"{""intent"":""AGGREGATION"",""tables"":""payments"",""columns"":""MAX(amount)"",""filters"":""None"",""joins"":""None""}"
46,Min payment amount,AGGREGATION,payments,MIN(amount),None,None,"{""intent"":""AGGREGATION"",""tables"":""payments"",""columns"":""MIN(amount)"",""filters"":""None"",""joins"":""None""}"
47,Count total orders,AGGREGATION,orders,COUNT(orderNumber),None,None,"{""intent"":""AGGREGATION"",""tables"":""orders"",""columns"":""COUNT(orderNumber)"",""filters"":""None"",""joins"":""None""}"
48,Total quantity in stock,AGGREGATION,products,SUM(quantityInStock),None,None,"{""intent"":""AGGREGATION"",""tables"":""products"",""columns"":""SUM(quantityInStock)"",""filters"":""None"",""joins"":""None""}"
49,Average MSRP,AGGREGATION,products,AVG(MSRP),None,None,"{""intent"":""AGGREGATION"",""tables"":""products"",""columns"":""AVG(MSRP)"",""filters"":""None"",""joins"":""None""}"
50,Number of employees,AGGREGATION,employees,COUNT(employeeNumber),None,None,"{""intent"":""AGGREGATION"",""tables"":""employees"",""columns"":""COUNT(employeeNumber)"",""filters"":""None"",""joins"":""None""}"
