orderNumber,orderDate,status,customerName
10160,2003-10-11,Shipped,"Men'R' US Retailers, Ltd."
10161,2003-10-17,Shipped,Heintze Collectables
10162,2003-10-18,Shipped,Corporate Gift Ideas Co.
10163,2003-10-20,Shipped,Classic Legends Inc.
10164,2003-10-21,Resolved,Mini Auto Werke
10165,2003-10-22,Shipped,"Dragon Souveniers, Ltd."
10166,2003-10-21,Shipped,FunGiftIdeas.com
10167,2003-10-23,Cancelled,Scandinavian Gift Ideas
10168,2003-10-28,Shipped,Technics Stores Inc.
10169,2003-11-04,Shipped,"Anna's Decorations, Ltd"
10170,2003-11-04,Shipped,Mini Auto Werke
10171,2003-11-05,Shipped,Québec Home Shopping Network
10172,2003-11-05,Shipped,Gift Depot Inc.
10173,2003-11-05,Shipped,Rovelli Gifts
10174,2003-11-06,Shipped,"Australian Gift Network, Co"
10175,2003-11-06,Shipped,"Stylish Desk Decors, Co."
10176,2003-11-06,Shipped,L'ordine Souveniers
10177,2003-11-07,Shipped,CAF Imports
10178,2003-11-08,Shipped,Alpha Cognac
10179,2003-11-11,Cancelled,Kelly's Gift Shop
10180,2003-11-11,Shipped,Daedalus Designs Imports
10181,2003-11-12,Shipped,Herkku Gifts
10182,2003-11-12,Shipped,Mini Gifts Distributors Ltd.
10183,2003-11-13,Shipped,"Classic Gift Ideas, Inc"
10184,2003-11-14,Shipped,"Iberia Gift Imports, Corp."
10185,2003-11-14,Shipped,Mini Creations Ltd.
10186,2003-11-14,Shipped,"Double Decker Gift Stores, Ltd"
10187,2003-11-15,Shipped,"King Kong Collectables, Co."
10188,2003-11-18,Shipped,Herkku Gifts
10189,2003-11-18,Shipped,Toys4GrownUps.com
10190,2003-11-19,Shipped,Euro+ Shopping Channel
10191,2003-11-20,Shipped,"Toms Spezialitäten, Ltd"
10192,2003-11-20,Shipped,Online Diecast Creations Co.
10193,2003-11-21,Shipped,"Australian Collectables, Ltd"
10194,2003-11-25,Shipped,"Saveley & Henriot, Co."
10195,2003-11-25,Shipped,Mini Classics
10196,2003-11-26,Shipped,Super Scale Inc.
10197,2003-11-26,Shipped,Enaco Distributors
10198,2003-11-27,Shipped,Cruz & Sons Co.
10199,2003-12-01,Shipped,West Coast Collectables Co.
10200,2003-12-01,Shipped,"King Kong Collectables, Co."
10201,2003-12-01,Shipped,Mini Wheels Co.
10202,2003-12-02,Shipped,GiftsForHim.com
10203,2003-12-02,Shipped,Euro+ Shopping Channel
10204,2003-12-02,Shipped,Muscle Machine Inc
10205,2003-12-03,Shipped,Euro+ Shopping Channel
10206,2003-12-05,Shipped,Canadian Gift Exchange Network
10207,2003-12-09,Shipped,Diecast Collectables
10208,2004-01-02,Shipped,"Saveley & Henriot, Co."
10209,2004-01-09,Shipped,"Men'R' US Retailers, Ltd."
10210,2004-01-12,Shipped,Osaka Souveniers Co.
10211,2004-01-15,Shipped,Auto Canal+ Petit
10212,2004-01-16,Shipped,Euro+ Shopping Channel
10213,2004-01-22,Shipped,"Double Decker Gift Stores, Ltd"
10214,2004-01-26,Shipped,"Corrida Auto Replicas, Ltd"
10215,2004-01-29,Shipped,West Coast Collectables Co.
10216,2004-02-02,Shipped,Auto Associés & Cie.
10217,2004-02-04,Shipped,Handji Gifts& Co
10218,2004-02-09,Shipped,Frau da Collezione
10219,2004-02-10,Shipped,Signal Collectibles Ltd.
10220,2004-02-12,Shipped,"Clover Collections, Co."
10221,2004-02-18,Shipped,Petit Auto
10222,2004-02-19,Shipped,Collectable Mini Designs Co.
10223,2004-02-20,Shipped,"Australian Collectors, Co."
10224,2004-02-21,Shipped,Daedalus Designs Imports
10225,2004-02-22,Shipped,"Vida Sport, Ltd"
10226,2004-02-26,Shipped,Collectable Mini Designs Co.
10227,2004-03-02,Shipped,"Saveley & Henriot, Co."
10228,2004-03-10,Shipped,Cambridge Collectables Co.
10229,2004-03-11,Shipped,Mini Gifts Distributors Ltd.
10230,2004-03-15,Shipped,"Blauer See Auto, Co."
10231,2004-03-19,Shipped,CAF Imports
10232,2004-03-20,Shipped,giftsbymail.co.uk
10233,2004-03-29,Shipped,Tekni Collectables Inc.
10234,2004-03-30,Shipped,"Extreme Desk Decorations, Ltd"
10235,2004-04-02,Shipped,"Royal Canadian Collectables, Ltd."
10236,2004-04-03,Shipped,Motor Mint Distributors Inc.
10237,2004-04-05,Shipped,Vitachrome Inc.
10238,2004-04-09,Shipped,Danish Wholesale Imports
10239,2004-04-12,Shipped,"Oulu Toy Supplies, Inc."
10240,2004-04-13,Shipped,Osaka Souveniers Co.
10241,2004-04-13,Shipped,Mini Caravy
10242,2004-04-20,Shipped,Microscale Inc.
10243,2004-04-26,Shipped,Diecast Collectables
10244,2004-04-29,Shipped,Euro+ Shopping Channel
10245,2004-05-04,Shipped,Super Scale Inc.
10246,2004-05-05,Shipped,Euro+ Shopping Channel
10247,2004-05-05,Shipped,Suominen Souveniers
10248,2004-05-07,Cancelled,Land of Toys Inc.
10249,2004-05-08,Shipped,Cambridge Collectables Co.
10250,2004-05-11,Shipped,The Sharp Gifts Warehouse
10251,2004-05-18,Shipped,Tekni Collectables Inc.
10252,2004-05-26,Shipped,Auto Canal+ Petit
10253,2004-06-01,Cancelled,"UK Collectables, Ltd."
10254,2004-06-03,Shipped,"Down Under Souveniers, Inc"
10255,2004-06-04,Shipped,Mini Caravy
10256,2004-06-08,Shipped,Danish Wholesale Imports
10257,2004-06-14,Shipped,The Sharp Gifts Warehouse
10258,2004-06-15,Shipped,"Tokyo Collectables, Ltd"
10259,2004-06-15,Shipped,Handji Gifts& Co
10260,2004-06-16,Cancelled,GiftsForHim.com
10261,2004-06-17,Shipped,Québec Home Shopping Network
10262,2004-06-24,Cancelled,Euro+ Shopping Channel
10263,2004-06-28,Shipped,Gift Depot Inc.
10264,2004-06-30,Shipped,Gifts4AllAges.com
10265,2004-07-02,Shipped,"Australian Collectables, Ltd"
10266,2004-07-06,Shipped,L'ordine Souveniers
10267,2004-07-07,Shipped,Muscle Machine Inc
10268,2004-07-12,Shipped,"Extreme Desk Decorations, Ltd"
10269,2004-07-16,Shipped,Salzburg Collectables
10270,2004-07-19,Shipped,Souveniers And Things Co.
10271,2004-07-20,Shipped,Mini Gifts Distributors Ltd.
10272,2004-07-20,Shipped,Diecast Classics Inc.
10273,2004-07-21,Shipped,Petit Auto
10274,2004-07-21,Shipped,Collectables For Less Inc.
10275,2004-07-23,Shipped,La Rochelle Gifts
10276,2004-08-02,Shipped,Online Mini Collectables
10277,2004-08-04,Shipped,"Dragon Souveniers, Ltd."
10278,2004-08-06,Shipped,Signal Gift Stores
10279,2004-08-09,Shipped,Euro+ Shopping Channel
10280,2004-08-17,Shipped,Amica Models & Co.
10281,2004-08-19,Shipped,Diecast Classics Inc.
10282,2004-08-20,Shipped,Mini Gifts Distributors Ltd.
10283,2004-08-20,Shipped,"Royal Canadian Collectables, Ltd."
10284,2004-08-21,Shipped,"Norway Gifts By Mail, Co."
10285,2004-08-27,Shipped,Marta's Replicas Co.
10286,2004-08-28,Shipped,"La Corne Dabondance, Co."
10287,2004-08-30,Shipped,"Vida Sport, Ltd"
10288,2004-09-01,Shipped,Handji Gifts& Co
10289,2004-09-03,Shipped,Herkku Gifts
10290,2004-09-07,Shipped,Auto-Moto Classics Inc.
10291,2004-09-08,Shipped,Scandinavian Gift Ideas
10292,2004-09-08,Shipped,Land of Toys Inc.
10293,2004-09-09,Shipped,Amica Models & Co.
10294,2004-09-10,Shipped,Online Mini Collectables
10295,2004-09-10,Shipped,Gifts4AllAges.com
10296,2004-09-15,Shipped,"Bavarian Collectables Imports, Co."
10297,2004-09-16,Shipped,"Clover Collections, Co."
10298,2004-09-27,Shipped,Atelier graphique
10299,2004-09-30,Shipped,"Toys of Finland, Co."
10300,2003-10-04,Shipped,"Blauer See Auto, Co."
10301,2003-10-05,Shipped,"Norway Gifts By Mail, Co."
10302,2003-10-06,Shipped,"UK Collectables, Ltd."
10303,2004-10-06,Shipped,"Iberia Gift Imports, Corp."
10304,2004-10-11,Shipped,Auto Associés & Cie.
10305,2004-10-13,Shipped,Marta's Replicas Co.
10306,2004-10-14,Shipped,"AV Stores, Co."
10307,2004-10-14,Shipped,"Classic Gift Ideas, Inc"
10308,2004-10-15,Shipped,Mini Classics
10309,2004-10-15,Shipped,Baane Mini Imports
10310,2004-10-16,Shipped,"Toms Spezialitäten, Ltd"
10311,2004-10-16,Shipped,Euro+ Shopping Channel
10312,2004-10-21,Shipped,Mini Gifts Distributors Ltd.
10313,2004-10-22,Shipped,Canadian Gift Exchange Network
10314,2004-10-22,Shipped,Heintze Collectables
10315,2004-10-29,Shipped,La Rochelle Gifts
10316,2004-11-01,Shipped,giftsbymail.co.uk
10317,2004-11-02,Shipped,Technics Stores Inc.
10318,2004-11-02,Shipped,Diecast Classics Inc.
10319,2004-11-03,Shipped,Microscale Inc.
10320,2004-11-03,Shipped,"Volvo Model Replicas, Co"
10321,2004-11-04,Shipped,FunGiftIdeas.com
10322,2004-11-04,Shipped,Online Diecast Creations Co.
10323,2004-11-05,Shipped,"Blauer See Auto, Co."
10324,2004-11-05,Shipped,Vitachrome Inc.
10325,2004-11-05,Shipped,Baane Mini Imports
10326,2004-11-09,Shipped,"Volvo Model Replicas, Co"
10327,2004-11-10,Resolved,Danish Wholesale Imports
10328,2004-11-12,Shipped,Rovelli Gifts
10329,2004-11-15,Shipped,Land of Toys Inc.
10330,2004-11-16,Shipped,Cruz & Sons Co.
10331,2004-11-17,Shipped,Motor Mint Distributors Inc.
10332,2004-11-17,Shipped,"AV Stores, Co."
10333,2004-11-18,Shipped,Mini Wheels Co.
10334,2004-11-19,On Hold,"Volvo Model Replicas, Co"
10335,2004-11-19,Shipped,Mini Gifts Distributors Ltd.
10336,2004-11-20,Shipped,"La Corne Dabondance, Co."
10337,2004-11-21,Shipped,Classic Legends Inc.
10338,2004-11-22,Shipped,Royale Belge
10339,2004-11-23,Shipped,"Tokyo Collectables, Ltd"
10340,2004-11-24,Shipped,Enaco Distributors
10341,2004-11-24,Shipped,Salzburg Collectables
10342,2004-11-24,Shipped,"Australian Collectors, Co."
10343,2004-11-24,Shipped,Reims Collectables
10344,2004-11-25,Shipped,Marseille Mini Autos
10345,2004-11-25,Shipped,Atelier graphique
10346,2004-11-29,Shipped,Signal Gift Stores
10347,2004-11-29,Shipped,"Australian Collectors, Co."
10348,2004-11-01,Shipped,"Corrida Auto Replicas, Ltd"
10349,2004-12-01,Shipped,Muscle Machine Inc
10350,2004-12-02,Shipped,Euro+ Shopping Channel
10351,2004-12-03,Shipped,"Stylish Desk Decors, Co."
10352,2004-12-03,Shipped,Auto-Moto Classics Inc.
10353,2004-12-04,Shipped,Gift Ideas Corp.
10354,2004-12-04,Shipped,"Down Under Souveniers, Inc"
10355,2004-12-07,Shipped,Euro+ Shopping Channel
10356,2004-12-09,Shipped,Lyon Souveniers
10357,2004-12-10,Shipped,Mini Gifts Distributors Ltd.
10358,2004-12-10,Shipped,Euro+ Shopping Channel
10359,2004-12-15,Shipped,Reims Collectables
10360,2004-12-16,Shipped,Kelly's Gift Shop
10361,2004-12-17,Shipped,Souveniers And Things Co.
10362,2005-01-05,Shipped,Technics Stores Inc.
10363,2005-01-06,Shipped,Suominen Souveniers
10364,2005-01-06,Shipped,Marseille Mini Autos
10365,2005-01-07,Shipped,Mini Creations Ltd.
10366,2005-01-10,Shipped,Royale Belge
10367,2005-01-12,Resolved,Toys4GrownUps.com
10368,2005-01-19,Shipped,Mini Gifts Distributors Ltd.
10369,2005-01-20,Shipped,Collectables For Less Inc.
10370,2005-01-20,Shipped,"Anna's Decorations, Ltd"
10371,2005-01-23,Shipped,Mini Gifts Distributors Ltd.
10372,2005-01-26,Shipped,"Tokyo Collectables, Ltd"
10373,2005-01-31,Shipped,"Oulu Toy Supplies, Inc."
10374,2005-02-02,Shipped,"Australian Gift Network, Co"
10375,2005-02-03,Shipped,La Rochelle Gifts
10376,2005-02-08,Shipped,Boards & Toys Co.
10377,2005-02-09,Shipped,"Toys of Finland, Co."
10378,2005-02-10,Shipped,Euro+ Shopping Channel
10379,2005-02-10,Shipped,Euro+ Shopping Channel
10380,2005-02-16,Shipped,Euro+ Shopping Channel
10381,2005-02-17,Shipped,Corporate Gift Ideas Co.
10382,2005-02-17,Shipped,Mini Gifts Distributors Ltd.
10383,2005-02-22,Shipped,Euro+ Shopping Channel
10384,2005-02-23,Shipped,Corporate Gift Ideas Co.
10385,2005-02-28,Shipped,Mini Gifts Distributors Ltd.
10386,2005-03-01,Resolved,Euro+ Shopping Channel
10387,2005-03-02,Shipped,"Dragon Souveniers, Ltd."
10388,2005-03-03,Shipped,FunGiftIdeas.com
10389,2005-03-03,Shipped,Scandinavian Gift Ideas
10390,2005-03-04,Shipped,Mini Gifts Distributors Ltd.
10391,2005-03-09,Shipped,"Anna's Decorations, Ltd"
10392,2005-03-10,Shipped,Mini Auto Werke
10393,2005-03-11,Shipped,"Down Under Souveniers, Inc"
10394,2005-03-15,Shipped,Euro+ Shopping Channel
10395,2005-03-17,Shipped,Lyon Souveniers
10396,2005-03-23,Shipped,Mini Gifts Distributors Ltd.
10397,2005-03-28,Shipped,Alpha Cognac
10398,2005-03-30,Shipped,Reims Collectables
10399,2005-04-01,Shipped,Kelly's Gift Shop
10400,2005-04-01,Shipped,The Sharp Gifts Warehouse
10401,2005-04-03,On Hold,Tekni Collectables Inc.
10402,2005-04-07,Shipped,Auto Canal+ Petit
10403,2005-04-08,Shipped,"UK Collectables, Ltd."
10404,2005-04-08,Shipped,"Down Under Souveniers, Inc"
10405,2005-04-14,Shipped,Mini Caravy
10406,2005-04-15,Disputed,Danish Wholesale Imports
10407,2005-04-22,On Hold,The Sharp Gifts Warehouse
10408,2005-04-22,Shipped,"Tokyo Collectables, Ltd"
10409,2005-04-23,Shipped,Handji Gifts& Co
10410,2005-04-29,Shipped,GiftsForHim.com
10411,2005-05-01,Shipped,Québec Home Shopping Network
10412,2005-05-03,Shipped,Euro+ Shopping Channel
10413,2005-05-05,Shipped,Gift Depot Inc.
10414,2005-05-06,On Hold,Gifts4AllAges.com
10415,2005-05-09,Disputed,"Australian Collectables, Ltd"
10416,2005-05-10,Shipped,L'ordine Souveniers
10417,2005-05-13,Disputed,Euro+ Shopping Channel
10418,2005-05-16,Shipped,"Extreme Desk Decorations, Ltd"
10419,2005-05-17,Shipped,Salzburg Collectables
10420,2005-05-29,In Process,Souveniers And Things Co.
10421,2005-05-29,In Process,Mini Gifts Distributors Ltd.
10422,2005-05-30,In Process,Diecast Classics Inc.
10423,2005-05-30,In Process,Petit Auto
10424,2005-05-31,In Process,Euro+ Shopping Channel
10425,2005-05-31,In Process,La Rochelle Gifts
