customerNumber,checkNumber,amount
276,KM841847,38547.19
276,LE432182,41554.73
276,OJ819725,29848.52
278,BJ483870,37654.09
278,GP636783,52151.81
278,NI983021,37723.79
282,IA793562,24013.52
282,JT819493,35806.73
282,OD327378,31835.36
286,DR578578,47411.33
286,KH910279,43134.04
298,AJ574927,47375.92
298,LF501133,61402
299,AD304085,36798.88
299,NR157385,32260.16
311,DG336041,46770.52
311,FA728475,32723.04
311,NQ966143,16212.59
314,LQ244073,45352.47
314,MD809704,16901.38
319,HL685576,42339.76
319,OM548174,36092.4
320,GJ597719,8307.28
320,HO576374,41016.75
320,MU817160,52548.49
321,DJ15149,85559.12
321,LA556321,46781.66
323,AL493079,75020.13
323,ES347491,37281.36
323,HG738664,2880
323,PQ803830,39440.59
324,DQ409197,13671.82
324,FP443161,29429.14
324,HB150714,37455.77
328,EN930356,7178.66
328,NR631421,31102.85
333,HL209210,23936.53
333,JK479662,9821.32
333,NF959653,21432.31
334,CS435306,45785.34
334,HH517378,29716.86
334,LF737277,28394.54
339,AP286625,23333.06
339,DA98827,34606.28
344,AF246722,31428.21
344,NJ906924,15322.93
347,DG700707,21053.69
347,LG808674,20452.5
350,BQ602907,18888.31
350,CI471510,50824.66
350,OB648482,1834.56
353,CO351193,49705.52
353,ED878227,13920.26
353,GT878649,16700.47
353,HJ618252,46656.94
357,AG240323,20220.04
357,NB291497,36442.34
362,FP170292,18473.71
362,OG208861,15059.76
363,HL575273,50799.69
363,IS232033,10223.83
363,PN238558,55425.77
379,CA762595,28322.83
379,FR499138,32680.31
379,GB890854,12530.51
381,BC726082,12081.52
381,CC475233,1627.56
381,GB117430,14379.9
381,MS154481,1128.2
382,CC871084,35826.33
382,CT821147,6419.84
382,PH29054,42813.83
385,BN347084,20644.24
385,CP804873,15822.84
385,EK785462,51001.22
386,DO106109,38524.29
386,HG438769,51619.02
398,AJ478695,33967.73
398,DO787644,22037.91
398,JPMR4544,615.45
398,KB54275,48927.64
406,BJMPR4545,12190.85
406,HJ217687,49165.16
406,NA197101,25080.96
412,GH197075,35034.57
412,PJ434867,31670.37
415,ER54537,31310.09
424,KF480160,25505.98
424,LM271923,21665.98
424,OA595449,22042.37
447,AO757239,6631.36
447,ER615123,17032.29
447,OU516561,26304.13
448,FS299615,27966.54
448,KR822727,48809.9
450,EF485824,59551.38
452,ED473873,27121.9
452,FN640986,15130.97
452,HG635467,8807.12
455,HA777606,38139.18
455,IR662429,32239.47
456,GJ715659,27550.51
456,MO743231,1679.92
458,DD995006,33145.56
458,NA377824,22162.61
458,OO606861,57131.92
462,ED203908,30293.77
462,GC60330,9977.85
462,PE176846,48355.87
471,AB661578,9415.13
471,CO645196,35505.63
473,LL427009,7612.06
473,PC688499,17746.26
475,JP113227,7678.25
475,PB951268,36070.47
484,GK294076,3474.66
484,JH546765,47513.19
486,BL66528,5899.38
486,HS86661,45994.07
486,JB117768,25833.14
487,AH612904,29997.09
487,PT550181,12573.28
489,OC773849,22275.73
489,PO860906,7310.42
495,BH167026,59265.14
495,FN155234,6276.6
496,EU531600,30253.75
496,MB342426,32077.44
496,MN89921,52166
