orderNumber,productCode,productVendor,quantityOrdered,priceEach
10117,S700_1938,Studio M Art Models,38,75.35
10117,S18_3259,Carousel DieCast Legends,21,81.68
10117,S12_3891,Second Gear Diecast,39,173.02
10117,S12_1108,Second Gear Diecast,33,195.33
10117,S12_3148,Welly Diecast Productions,43,148.06
10117,S50_1514,Classic Metal Creations,21,55.65
10117,S18_4027,Min Lin Diecast,22,122.08
10118,S700_3505,Carousel DieCast Legends,36,86.15
10119,S700_4002,Second Gear Diecast,26,63.67
10119,S24_3949,Second Gear Diecast,28,62.1
10119,S18_1662,Red Start Diecast,43,151.38
10119,S24_2841,Autoart Studio Design,41,64.4
10119,S24_3420,Autoart Studio Design,20,63.12
10119,S72_1253,Motor City Art Classics,28,40.22
10119,S700_2047,Unimax Art Galleries,29,74.23
10119,S18_3856,Exoto Designs,27,95.28
10119,S18_3029,Min Lin Diecast,21,74.84
10119,S24_3816,Carousel DieCast Legends,35,82.18
10119,S10_4757,Motor City Art Classics,46,112.88
10119,S700_2610,Red Start Diecast,38,67.22
10119,S24_3151,Min Lin Diecast,35,72.58
10119,S700_1138,Autoart Studio Design,25,57.34
10120,S24_1578,Autoart Studio Design,35,110.45
10120,S10_4698,Red Start Diecast,46,158.8
10120,S10_2016,Highway 66 Mini Classics,29,118.94
10120,S18_2625,Welly Diecast Productions,46,57.54
10120,S24_2000,Highway 66 Mini Classics,34,72.36
10120,S32_1374,Exoto Designs,22,94.9
10120,S700_2834,Highway 66 Mini Classics,24,106.79
10120,S18_2581,Gearbox Collectibles,29,82.79
10120,S24_4278,Unimax Art Galleries,29,71.73
10120,S24_1785,Classic Metal Creations,39,93.01
10120,S32_4289,Highway 66 Mini Classics,29,68.79
10120,S50_1341,Studio M Art Models,49,41.46
10120,S700_1691,Min Lin Diecast,47,91.34
10120,S700_3167,Motor City Art Classics,43,72
10120,S700_2466,Motor City Art Classics,24,81.77
10121,S50_4713,Autoart Studio Design,44,72.41
10121,S24_2360,Highway 66 Mini Classics,32,58.18
10121,S32_4485,Second Gear Diecast,25,95.93
10121,S12_2823,Unimax Art Galleries,50,126.52
10121,S10_1678,Min Lin Diecast,34,86.13
10122,S18_1984,Min Lin Diecast,31,113.8
10122,S18_1129,Highway 66 Mini Classics,34,114.65
10122,S18_3232,Unimax Art Galleries,25,137.17
10122,S24_2972,Second Gear Diecast,39,34.74
10122,S24_3856,Classic Metal Creations,43,136.22
10122,S18_1889,Gearbox Collectibles,43,62.37
10122,S12_4675,Welly Diecast Productions,20,104.8
10122,S12_3380,Welly Diecast Productions,37,113.92
10122,S24_3371,Welly Diecast Productions,34,50.82
10122,S12_1099,Autoart Studio Design,42,155.66
10122,S12_3990,Studio M Art Models,32,65.44
10122,S18_3482,Gearbox Collectibles,21,133.76
10122,S18_3278,Min Lin Diecast,21,69.15
10122,S24_4620,Classic Metal Creations,29,67.1
10122,S18_4721,Classic Metal Creations,28,145.82
10122,S18_3782,Studio M Art Models,35,59.06
10122,S32_2206,Gearbox Collectibles,31,33.79
10123,S24_1628,Carousel DieCast Legends,50,43.27
10123,S18_1589,Classic Metal Creations,26,120.71
10123,S18_2870,Red Start Diecast,46,114.84
10123,S18_3685,Gearbox Collectibles,34,117.26
10124,S24_2022,Classic Metal Creations,22,36.29
10124,S24_1937,Motor City Art Classics,45,30.53
10124,S18_2325,Autoart Studio Design,42,111.87
10124,S24_3969,Red Start Diecast,46,36.11
10124,S18_2248,Motor City Art Classics,42,58.12
10124,S18_1749,Welly Diecast Productions,21,153
10124,S18_4409,Exoto Designs,36,75.46
10124,S18_4933,Studio M Art Models,23,66.28
10124,S24_2887,Exoto Designs,25,93.95
10124,S24_2766,Classic Metal Creations,32,74.51
10124,S24_3191,Exoto Designs,49,76.19
10124,S24_1046,Unimax Art Galleries,22,62.47
10124,S24_3432,Gearbox Collectibles,43,101.73
10125,S18_1342,Motor City Art Classics,32,89.38
10125,S18_2795,Gearbox Collectibles,34,138.38
10126,S24_2300,Autoart Studio Design,27,122.68
10126,S18_2432,Carousel DieCast Legends,43,51.05
10126,S32_1268,Motor City Art Classics,43,82.83
10126,S10_4962,Second Gear Diecast,22,122.62
10126,S18_4600,Motor City Art Classics,50,102.92
10126,S700_2824,Carousel DieCast Legends,45,97.1
10126,S32_3522,Red Start Diecast,26,62.05
10126,S12_1666,Welly Diecast Productions,21,135.3
10126,S18_4668,Studio M Art Models,43,47.29
10126,S18_1097,Studio M Art Models,38,116.67
10126,S10_1949,Classic Metal Creations,38,205.73
10126,S18_2949,Carousel DieCast Legends,31,93.21
10126,S18_3136,Red Start Diecast,30,93.2
10126,S18_2957,Min Lin Diecast,46,61.84
10126,S24_4258,Second Gear Diecast,34,83.76
10126,S18_3320,Exoto Designs,38,94.25
10126,S18_1367,Studio M Art Models,42,51.21
10127,S12_3891,Second Gear Diecast,42,169.56
10127,S12_1108,Second Gear Diecast,46,193.25
10127,S12_3148,Welly Diecast Productions,46,140.5
10127,S50_1514,Classic Metal Creations,46,55.65
10127,S18_4027,Min Lin Diecast,25,126.39
10127,S32_3207,Gearbox Collectibles,29,60.9
10127,S24_4048,Exoto Designs,20,107.63
10127,S24_1444,Highway 66 Mini Classics,20,50.86
10127,S50_1392,Highway 66 Mini Classics,46,111.12
10127,S18_2238,Gearbox Collectibles,45,140.81
10127,S12_4473,Exoto Designs,24,100.73
10127,S24_2840,Carousel DieCast Legends,39,34.3
10127,S32_2509,Classic Metal Creations,45,46.53
10127,S18_2319,Unimax Art Galleries,45,114.14
10127,S18_3232,Unimax Art Galleries,22,149.02
10128,S18_4522,Exoto Designs,43,77.24
10128,S18_3140,Unimax Art Galleries,41,120.2
10128,S700_1938,Studio M Art Models,32,72.75
10128,S18_3259,Carousel DieCast Legends,41,80.67
10129,S24_3816,Carousel DieCast Legends,50,76.31
10129,S10_4757,Motor City Art Classics,33,123.76
10129,S700_2610,Red Start Diecast,45,72.28
10129,S24_3151,Min Lin Diecast,41,81.43
10129,S700_1138,Autoart Studio Design,31,58.67
10129,S700_3505,Carousel DieCast Legends,42,90.15
10129,S700_3962,Welly Diecast Productions,30,94.34
10129,S72_3212,Unimax Art Galleries,32,44.23
10129,S24_2011,Carousel DieCast Legends,45,113.06
10130,S18_3856,Exoto Designs,33,99.52
10130,S18_3029,Min Lin Diecast,40,68.82
10131,S700_2466,Motor City Art Classics,40,86.76
10131,S700_4002,Second Gear Diecast,26,63.67
10131,S24_3949,Second Gear Diecast,50,54.59
10131,S18_1662,Red Start Diecast,21,141.92
10131,S24_2841,Autoart Studio Design,35,60.97
10131,S24_3420,Autoart Studio Design,29,52.6
10131,S72_1253,Motor City Art Classics,21,40.22
10131,S700_2047,Unimax Art Galleries,22,76.94
10132,S700_3167,Motor City Art Classics,36,80
10133,S32_1374,Exoto Designs,23,80.91
10133,S700_2834,Highway 66 Mini Classics,27,115.09
10133,S18_2581,Gearbox Collectibles,49,80.26
10133,S24_4278,Unimax Art Galleries,46,61.58
10133,S24_1785,Classic Metal Creations,41,109.42
10133,S32_4289,Highway 66 Mini Classics,49,67.41
10133,S50_1341,Studio M Art Models,27,37.09
10133,S700_1691,Min Lin Diecast,24,76.73
10134,S12_2823,Unimax Art Galleries,20,131.04
10134,S10_1678,Min Lin Diecast,41,90.92
10134,S24_1578,Autoart Studio Design,35,94.67
10134,S10_4698,Red Start Diecast,31,187.85
10134,S10_2016,Highway 66 Mini Classics,27,116.56
10134,S18_2625,Welly Diecast Productions,30,51.48
10134,S24_2000,Highway 66 Mini Classics,43,75.41
10135,S24_2972,Second Gear Diecast,20,34.36
10135,S24_3856,Classic Metal Creations,47,139.03
10135,S18_1889,Gearbox Collectibles,48,66.99
10135,S12_4675,Welly Diecast Productions,29,103.64
10135,S12_3380,Welly Diecast Productions,48,110.39
10135,S24_3371,Welly Diecast Productions,27,52.05
10135,S12_1099,Autoart Studio Design,42,173.17
10135,S12_3990,Studio M Art Models,24,72.62
10135,S18_3482,Gearbox Collectibles,42,139.64
10135,S18_3278,Min Lin Diecast,45,65.94
10135,S24_4620,Classic Metal Creations,23,76.8
10135,S18_4721,Classic Metal Creations,31,133.92
10135,S18_3782,Studio M Art Models,45,49.74
10135,S32_2206,Gearbox Collectibles,33,38.62
10135,S50_4713,Autoart Studio Design,44,78.92
10135,S24_2360,Highway 66 Mini Classics,29,67.18
10135,S32_4485,Second Gear Diecast,30,91.85
10136,S18_1984,Min Lin Diecast,36,120.91
10136,S18_1129,Highway 66 Mini Classics,25,117.48
10136,S18_3232,Unimax Art Galleries,41,169.34
10137,S24_1628,Carousel DieCast Legends,26,40.25
10137,S18_1589,Classic Metal Creations,44,115.73
10137,S18_2870,Red Start Diecast,37,110.88
10137,S18_3685,Gearbox Collectibles,31,118.68
10138,S24_2022,Classic Metal Creations,33,38.53
10138,S24_1937,Motor City Art Classics,22,33.19
10138,S18_2325,Autoart Studio Design,38,114.42
10138,S24_3969,Red Start Diecast,29,32.82
10138,S18_2248,Motor City Art Classics,22,51.46
10138,S18_1749,Welly Diecast Productions,33,149.6
10138,S18_4409,Exoto Designs,47,79.15
10138,S18_4933,Studio M Art Models,23,64.86
10138,S24_2887,Exoto Designs,30,96.3
10138,S24_2766,Classic Metal Creations,28,73.6
10138,S24_3191,Exoto Designs,49,77.05
10138,S24_1046,Unimax Art Galleries,45,59.53
10138,S24_3432,Gearbox Collectibles,21,99.58
10139,S18_2949,Carousel DieCast Legends,46,91.18
10139,S18_3136,Red Start Diecast,20,101.58
10139,S18_2957,Min Lin Diecast,20,52.47
10139,S24_4258,Second Gear Diecast,29,93.49
10139,S18_3320,Exoto Designs,30,81.35
10139,S18_1367,Studio M Art Models,49,52.83
10139,S18_1342,Motor City Art Classics,31,89.38
10139,S18_2795,Gearbox Collectibles,41,151.88
10140,S24_2300,Autoart Studio Design,47,118.84
10140,S18_2432,Carousel DieCast Legends,46,51.05
10140,S32_1268,Motor City Art Classics,26,87.64
10140,S10_4962,Second Gear Diecast,26,131.49
10140,S18_4600,Motor City Art Classics,40,100.5
10140,S700_2824,Carousel DieCast Legends,36,101.15
10140,S32_3522,Red Start Diecast,28,62.05
10140,S12_1666,Welly Diecast Productions,38,118.9
10140,S18_4668,Studio M Art Models,29,40.25
10140,S18_1097,Studio M Art Models,32,95.67
10140,S10_1949,Classic Metal Creations,37,186.44
10141,S24_4048,Exoto Designs,40,104.09
10141,S24_1444,Highway 66 Mini Classics,20,50.86
10141,S50_1392,Highway 66 Mini Classics,44,94.92
10141,S18_2238,Gearbox Collectibles,39,160.46
10141,S12_4473,Exoto Designs,21,114.95
10141,S24_2840,Carousel DieCast Legends,21,32.18
10141,S32_2509,Classic Metal Creations,24,53.03
10141,S18_2319,Unimax Art Galleries,47,103.09
10141,S18_3232,Unimax Art Galleries,34,143.94
10142,S24_3151,Min Lin Diecast,49,74.35
10142,S700_1138,Autoart Studio Design,41,55.34
10142,S700_3505,Carousel DieCast Legends,21,92.16
10142,S700_3962,Welly Diecast Productions,38,91.37
10142,S72_3212,Unimax Art Galleries,39,46.96
10142,S24_2011,Carousel DieCast Legends,33,114.29
10142,S18_4522,Exoto Designs,24,79.87
10142,S18_3140,Unimax Art Galleries,47,129.76
10142,S700_1938,Studio M Art Models,43,77.08
10142,S18_3259,Carousel DieCast Legends,22,95.8
10142,S12_3891,Second Gear Diecast,46,167.83
10142,S12_1108,Second Gear Diecast,33,166.24
10142,S12_3148,Welly Diecast Productions,33,140.5
10142,S50_1514,Classic Metal Creations,42,56.24
10142,S18_4027,Min Lin Diecast,24,122.08
10142,S32_3207,Gearbox Collectibles,42,60.9
10143,S50_1341,Studio M Art Models,34,34.91
10143,S700_1691,Min Lin Diecast,36,86.77
10143,S700_3167,Motor City Art Classics,28,70.4
10143,S700_2466,Motor City Art Classics,26,79.78
10143,S700_4002,Second Gear Diecast,34,65.15
10143,S24_3949,Second Gear Diecast,28,55.96
10143,S18_1662,Red Start Diecast,32,126.15
10143,S24_2841,Autoart Studio Design,27,63.71
10143,S24_3420,Autoart Studio Design,33,59.83
10143,S72_1253,Motor City Art Classics,37,49.66
10143,S700_2047,Unimax Art Galleries,26,87.8
10143,S18_3856,Exoto Designs,34,99.52
10143,S18_3029,Min Lin Diecast,46,70.54
10143,S24_3816,Carousel DieCast Legends,23,74.64
10143,S10_4757,Motor City Art Classics,49,133.28
10143,S700_2610,Red Start Diecast,31,69.39
10144,S32_4289,Highway 66 Mini Classics,20,56.41
10145,S32_2206,Gearbox Collectibles,31,39.43
10145,S50_4713,Autoart Studio Design,38,73.22
10145,S24_2360,Highway 66 Mini Classics,27,56.1
10145,S32_4485,Second Gear Diecast,27,95.93
10145,S12_2823,Unimax Art Galleries,49,146.1
10145,S10_1678,Min Lin Diecast,45,76.56
10145,S24_1578,Autoart Studio Design,43,103.68
10145,S10_4698,Red Start Diecast,33,154.93
10145,S10_2016,Highway 66 Mini Classics,37,104.67
10145,S18_2625,Welly Diecast Productions,30,52.7
10145,S24_2000,Highway 66 Mini Classics,47,63.98
10145,S32_1374,Exoto Designs,33,99.89
10145,S700_2834,Highway 66 Mini Classics,20,113.9
10145,S18_2581,Gearbox Collectibles,30,71.81
10145,S24_4278,Unimax Art Galleries,33,71.73
10145,S24_1785,Classic Metal Creations,40,87.54
10146,S18_4721,Classic Metal Creations,29,130.94
10146,S18_3782,Studio M Art Models,47,60.3
10147,S24_2972,Second Gear Diecast,25,33.23
10147,S24_3856,Classic Metal Creations,23,123.58
10147,S18_1889,Gearbox Collectibles,26,70.84
10147,S12_4675,Welly Diecast Productions,33,97.89
10147,S12_3380,Welly Diecast Productions,31,110.39
10147,S24_3371,Welly Diecast Productions,30,48.98
10147,S12_1099,Autoart Studio Design,48,161.49
10147,S12_3990,Studio M Art Models,21,74.21
10147,S18_3482,Gearbox Collectibles,37,129.35
10147,S18_3278,Min Lin Diecast,36,74.78
10147,S24_4620,Classic Metal Creations,31,72.76
10148,S18_4409,Exoto Designs,34,83.75
10148,S18_4933,Studio M Art Models,29,66.28
10148,S24_2887,Exoto Designs,34,115.09
10148,S24_2766,Classic Metal Creations,21,77.24
10148,S24_3191,Exoto Designs,31,71.91
10148,S24_1046,Unimax Art Galleries,25,65.41
10148,S24_3432,Gearbox Collectibles,27,96.37
10148,S24_1628,Carousel DieCast Legends,47,46.29
10148,S18_1589,Classic Metal Creations,47,108.26
10148,S18_2870,Red Start Diecast,27,113.52
10148,S18_3685,Gearbox Collectibles,28,135.63
10148,S18_1984,Min Lin Diecast,25,136.56
10148,S18_1129,Highway 66 Mini Classics,23,114.65
10148,S18_3232,Unimax Art Galleries,32,143.94
10149,S24_4258,Second Gear Diecast,20,90.57
10149,S18_3320,Exoto Designs,42,89.29
10149,S18_1367,Studio M Art Models,30,48.52
10149,S18_1342,Motor City Art Classics,50,87.33
10149,S18_2795,Gearbox Collectibles,23,167.06
10149,S24_2022,Classic Metal Creations,49,39.87
10149,S24_1937,Motor City Art Classics,36,31.2
10149,S18_2325,Autoart Studio Design,33,125.86
10149,S24_3969,Red Start Diecast,26,38.57
10149,S18_2248,Motor City Art Classics,24,50.85
10149,S18_1749,Welly Diecast Productions,34,156.4
10150,S10_4962,Second Gear Diecast,20,121.15
10150,S18_4600,Motor City Art Classics,49,111.39
10150,S700_2824,Carousel DieCast Legends,20,95.08
10150,S32_3522,Red Start Diecast,49,62.05
10150,S12_1666,Welly Diecast Productions,30,135.3
10150,S18_4668,Studio M Art Models,30,47.29
10150,S18_1097,Studio M Art Models,34,95.67
10150,S10_1949,Classic Metal Creations,45,182.16
10150,S18_2949,Carousel DieCast Legends,47,93.21
10150,S18_3136,Red Start Diecast,26,97.39
10150,S18_2957,Min Lin Diecast,30,56.21
10151,S50_1392,Highway 66 Mini Classics,26,108.81
10151,S18_2238,Gearbox Collectibles,43,152.27
10151,S12_4473,Exoto Designs,24,114.95
10151,S24_2840,Carousel DieCast Legends,30,29.35
10151,S32_2509,Classic Metal Creations,41,43.29
10151,S18_2319,Unimax Art Galleries,49,106.78
10151,S18_3232,Unimax Art Galleries,21,167.65
10151,S24_2300,Autoart Studio Design,42,109.9
10151,S18_2432,Carousel DieCast Legends,39,58.34
10151,S32_1268,Motor City Art Classics,27,84.75
10152,S18_4027,Min Lin Diecast,35,117.77
10152,S32_3207,Gearbox Collectibles,33,57.17
10152,S24_4048,Exoto Designs,23,112.37
10152,S24_1444,Highway 66 Mini Classics,25,49.13
10153,S700_1138,Autoart Studio Design,43,58
10153,S700_3505,Carousel DieCast Legends,50,87.15
10153,S700_3962,Welly Diecast Productions,20,85.41
10153,S72_3212,Unimax Art Galleries,50,51.87
10153,S24_2011,Carousel DieCast Legends,40,111.83
10153,S18_4522,Exoto Designs,22,82.5
10153,S18_3140,Unimax Art Galleries,31,125.66
10153,S700_1938,Studio M Art Models,31,80.55
10153,S18_3259,Carousel DieCast Legends,29,82.69
10153,S12_3891,Second Gear Diecast,49,155.72
10153,S12_1108,Second Gear Diecast,20,201.57
10153,S12_3148,Welly Diecast Productions,42,128.42
10153,S50_1514,Classic Metal Creations,31,53.31
10154,S700_2610,Red Start Diecast,36,59.27
10154,S24_3151,Min Lin Diecast,31,75.23
10155,S700_3167,Motor City Art Classics,43,76.8
10155,S700_2466,Motor City Art Classics,20,87.75
10155,S700_4002,Second Gear Diecast,44,70.33
10155,S24_3949,Second Gear Diecast,44,58.69
10155,S18_1662,Red Start Diecast,38,138.77
10155,S24_2841,Autoart Studio Design,23,62.34
10155,S24_3420,Autoart Studio Design,34,56.55
10155,S72_1253,Motor City Art Classics,34,49.16
10155,S700_2047,Unimax Art Galleries,32,89.61
10155,S18_3856,Exoto Designs,29,105.87
10155,S18_3029,Min Lin Diecast,44,83.44
10155,S24_3816,Carousel DieCast Legends,37,76.31
10155,S10_4757,Motor City Art Classics,32,129.2
10156,S50_1341,Studio M Art Models,20,43.64
10156,S700_1691,Min Lin Diecast,48,77.64
10157,S32_1374,Exoto Designs,34,83.91
10157,S700_2834,Highway 66 Mini Classics,48,109.16
10157,S18_2581,Gearbox Collectibles,33,69.27
10157,S24_4278,Unimax Art Galleries,33,66.65
10157,S24_1785,Classic Metal Creations,40,89.72
10157,S32_4289,Highway 66 Mini Classics,28,56.41
10158,S24_2000,Highway 66 Mini Classics,22,67.79
10159,S24_3371,Welly Diecast Productions,50,49.6
10159,S12_1099,Autoart Studio Design,41,188.73
10159,S12_3990,Studio M Art Models,24,67.03
10159,S18_3482,Gearbox Collectibles,25,129.35
10159,S18_3278,Min Lin Diecast,21,66.74
10159,S24_4620,Classic Metal Creations,23,80.84
10159,S18_4721,Classic Metal Creations,32,142.85
10159,S18_3782,Studio M Art Models,21,54.71
10159,S32_2206,Gearbox Collectibles,35,39.43
10159,S50_4713,Autoart Studio Design,31,78.11
10159,S24_2360,Highway 66 Mini Classics,27,67.18
10159,S32_4485,Second Gear Diecast,23,86.74
10159,S12_2823,Unimax Art Galleries,38,131.04
10159,S10_1678,Min Lin Diecast,49,81.35
10159,S24_1578,Autoart Studio Design,44,100.3
10159,S10_4698,Red Start Diecast,22,170.42
10159,S10_2016,Highway 66 Mini Classics,37,101.1
10159,S18_2625,Welly Diecast Productions,42,51.48
10160,S18_3232,Unimax Art Galleries,20,140.55
10160,S24_2972,Second Gear Diecast,42,30.59
10160,S24_3856,Classic Metal Creations,35,130.6
10160,S18_1889,Gearbox Collectibles,38,70.84
10160,S12_4675,Welly Diecast Productions,50,93.28
10160,S12_3380,Welly Diecast Productions,46,96.3
10161,S18_4933,Studio M Art Models,25,62.72
10161,S24_2887,Exoto Designs,25,108.04
10161,S24_2766,Classic Metal Creations,20,82.69
10161,S24_3191,Exoto Designs,20,72.77
10161,S24_1046,Unimax Art Galleries,37,73.49
10161,S24_3432,Gearbox Collectibles,30,94.23
10161,S24_1628,Carousel DieCast Legends,23,47.29
10161,S18_1589,Classic Metal Creations,43,102.04
10161,S18_2870,Red Start Diecast,23,125.4
10161,S18_3685,Gearbox Collectibles,36,132.8
10161,S18_1984,Min Lin Diecast,48,139.41
10161,S18_1129,Highway 66 Mini Classics,28,121.72
10162,S18_1367,Studio M Art Models,45,45.28
