orderNumber,productCode,productName,quantityOrdered,priceEach
10121,S50_4713,2002 Yamaha YZR M1,44,72.41
10121,S24_2360,1982 Ducati 900 Monster,32,58.18
10121,S32_4485,1974 Ducati 350 Mk3 Desmo,25,95.93
10121,S12_2823,2002 Suzuki XREO,50,126.52
10121,S10_1678,1969 Harley Davidson Ultimate Chopper,34,86.13
10122,S18_1984,1995 Honda Civic,31,113.8
10122,S18_1129,1993 Mazda RX-7,34,114.65
10122,S18_3232,1992 Ferrari 360 Spider red,25,137.17
10122,S24_2972,1982 Lamborghini Diablo,39,34.74
10122,S24_3856,1956 Porsche 356A Coupe,43,136.22
10122,S18_1889,1948 Porsche 356-A Roadster,43,62.37
10122,S12_4675,1969 Dodge Charger,20,104.8
10122,S12_3380,1968 Dodge Charger,37,113.92
10122,S24_3371,1971 Alpine Renault 1600s,34,50.82
10122,S12_1099,1968 Ford Mustang,42,155.66
10122,S12_3990,1970 Plymouth Hemi Cuda,32,65.44
10122,S18_3482,1976 Ford Gran Torino,21,133.76
10122,S18_3278,1969 Dodge Super Bee,21,69.15
10122,S24_4620,1961 Chevrolet Impala,29,67.1
10122,S18_4721,1957 Corvette Convertible,28,145.82
10122,S18_3782,1957 Vespa GS150,35,59.06
10122,S32_2206,1982 Ducati 996 R,31,33.79
10123,S24_1628,1966 Shelby Cobra 427 S/C,50,43.27
10123,S18_1589,1965 Aston Martin DB5,26,120.71
10123,S18_2870,1999 Indy 500 Monte Carlo SS,46,114.84
10123,S18_3685,1948 Porsche Type 356 Roadster,34,117.26
10124,S24_2022,1938 Cadillac V-16 Presidential Limousine,22,36.29
10124,S24_1937,1939 Chevrolet Deluxe Coupe,45,30.53
10124,S18_2325,1932 Model A Ford J-Coupe,42,111.87
10124,S24_3969,1936 Mercedes Benz 500k Roadster,46,36.11
10124,S18_2248,1911 Ford Town Car,42,58.12
10124,S18_1749,1917 Grand Touring Sedan,21,153
10124,S18_4409,1932 Alfa Romeo 8C2300 Spider Sport,36,75.46
10124,S18_4933,1957 Ford Thunderbird,23,66.28
10124,S24_2887,1952 Citroen-15CV,25,93.95
10124,S24_2766,1949 Jaguar XK 120,32,74.51
10124,S24_3191,1969 Chevrolet Camaro Z28,49,76.19
10124,S24_1046,1970 Chevy Chevelle SS 454,22,62.47
10124,S24_3432,2002 Chevy Corvette,43,101.73
10125,S18_1342,1937 Lincoln Berline,32,89.38
10125,S18_2795,1928 Mercedes-Benz SSK,34,138.38
10126,S24_2300,1962 Volkswagen Microbus,27,122.68
10126,S18_2432,1926 Ford Fire Engine,43,51.05
10126,S32_1268,1980's GM Manhattan Express,43,82.83
10126,S10_4962,1962 LanciaA Delta 16V,22,122.62
10126,S18_4600,1940s Ford truck,50,102.92
10126,S700_2824,1982 Camaro Z28,45,97.1
10126,S32_3522,1996 Peterbilt 379 Stake Bed with Outrigger,26,62.05
10126,S12_1666,1958 Setra Bus,21,135.3
10126,S18_4668,1939 Cadillac Limousine,43,47.29
10126,S18_1097,1940 Ford Pickup Truck,38,116.67
10126,S10_1949,1952 Alpine Renault 1300,38,205.73
10126,S18_2949,1913 Ford Model T Speedster,31,93.21
10126,S18_3136,18th Century Vintage Horse Carriage,30,93.2
10126,S18_2957,1934 Ford V8 Coupe,46,61.84
10126,S24_4258,1936 Chrysler Airflow,34,83.76
10126,S18_3320,1917 Maxwell Touring Car,38,94.25
10126,S18_1367,1936 Mercedes-Benz 500K Special Roadster,42,51.21
10127,S12_3891,1969 Ford Falcon,42,169.56
10127,S12_1108,2001 Ferrari Enzo,46,193.25
10127,S12_3148,1969 Corvair Monza,46,140.5
10127,S50_1514,1962 City of Detroit Streetcar,46,55.65
10127,S18_4027,1970 Triumph Spitfire,25,126.39
10127,S32_3207,1950's Chicago Surface Lines Streetcar,29,60.9
10127,S24_4048,1992 Porsche Cayenne Turbo Silver,20,107.63
10127,S24_1444,1970 Dodge Coronet,20,50.86
10127,S50_1392,Diamond T620 Semi-Skirted Tanker,46,111.12
10127,S18_2238,1998 Chrysler Plymouth Prowler,45,140.81
10127,S12_4473,1957 Chevy Pickup,24,100.73
10127,S24_2840,1958 Chevy Corvette Limited Edition,39,34.3
10127,S32_2509,1954 Greyhound Scenicruiser,45,46.53
10127,S18_2319,1964 Mercedes Tour Bus,45,114.14
10127,S18_3232,1992 Ferrari 360 Spider red,22,149.02
10128,S18_4522,1904 Buick Runabout,43,77.24
10128,S18_3140,1903 Ford Model A,41,120.2
10128,S700_1938,The Mayflower,32,72.75
10128,S18_3259,Collectable Wooden Train,41,80.67
10129,S24_3816,1940 Ford Delivery Sedan,50,76.31
10129,S10_4757,1972 Alfa Romeo GTA,33,123.76
10129,S700_2610,The USS Constitution Ship,45,72.28
10129,S24_3151,1912 Ford Model T Delivery Wagon,41,81.43
10129,S700_1138,The Schooner Bluenose,31,58.67
10129,S700_3505,The Titanic,42,90.15
10129,S700_3962,The Queen Mary,30,94.34
10129,S72_3212,Pont Yacht,32,44.23
10129,S24_2011,18th century schooner,45,113.06
10130,S18_3856,1941 Chevrolet Special Deluxe Cabriolet,33,99.52
10130,S18_3029,1999 Yamaha Speed Boat,40,68.82
10131,S700_2466,America West Airlines B757-200,40,86.76
10131,S700_4002,American Airlines: MD-11S,26,63.67
10131,S24_3949,Corsair F4U ( Bird Cage),50,54.59
10131,S18_1662,1980s Black Hawk Helicopter,21,141.92
10131,S24_2841,1900s Vintage Bi-Plane,35,60.97
10131,S24_3420,1937 Horch 930V Limousine,29,52.6
10131,S72_1253,Boeing X-32A JSF,21,40.22
10131,S700_2047,HMS Bounty,22,76.94
10132,S700_3167,F/A 18 Hornet 1/72,36,80
10133,S32_1374,1997 BMW F650 ST,23,80.91
10133,S700_2834,ATA: B757-300,27,115.09
10133,S18_2581,P-51-D Mustang,49,80.26
10133,S24_4278,1900s Vintage Tri-Plane,46,61.58
10133,S24_1785,1928 British Royal Navy Airplane,41,109.42
10133,S32_4289,1928 Ford Phaeton Deluxe,49,67.41
10133,S50_1341,1930 Buick Marquette Phaeton,27,37.09
10133,S700_1691,American Airlines: B767-300,24,76.73
10134,S12_2823,2002 Suzuki XREO,20,131.04
10134,S10_1678,1969 Harley Davidson Ultimate Chopper,41,90.92
10134,S24_1578,1997 BMW R 1100 S,35,94.67
10134,S10_4698,2003 Harley-Davidson Eagle Drag Bike,31,187.85
10134,S10_2016,1996 Moto Guzzi 1100i,27,116.56
10134,S18_2625,1936 Harley Davidson El Knucklehead,30,51.48
10134,S24_2000,1960 BSA Gold Star DBD34,43,75.41
10135,S24_2972,1982 Lamborghini Diablo,20,34.36
10135,S24_3856,1956 Porsche 356A Coupe,47,139.03
10135,S18_1889,1948 Porsche 356-A Roadster,48,66.99
10135,S12_4675,1969 Dodge Charger,29,103.64
10135,S12_3380,1968 Dodge Charger,48,110.39
10135,S24_3371,1971 Alpine Renault 1600s,27,52.05
10135,S12_1099,1968 Ford Mustang,42,173.17
10135,S12_3990,1970 Plymouth Hemi Cuda,24,72.62
10135,S18_3482,1976 Ford Gran Torino,42,139.64
10135,S18_3278,1969 Dodge Super Bee,45,65.94
10135,S24_4620,1961 Chevrolet Impala,23,76.8
10135,S18_4721,1957 Corvette Convertible,31,133.92
10135,S18_3782,1957 Vespa GS150,45,49.74
10135,S32_2206,1982 Ducati 996 R,33,38.62
10135,S50_4713,2002 Yamaha YZR M1,44,78.92
10135,S24_2360,1982 Ducati 900 Monster,29,67.18
10135,S32_4485,1974 Ducati 350 Mk3 Desmo,30,91.85
10136,S18_1984,1995 Honda Civic,36,120.91
10136,S18_1129,1993 Mazda RX-7,25,117.48
10136,S18_3232,1992 Ferrari 360 Spider red,41,169.34
10137,S24_1628,1966 Shelby Cobra 427 S/C,26,40.25
10137,S18_1589,1965 Aston Martin DB5,44,115.73
10137,S18_2870,1999 Indy 500 Monte Carlo SS,37,110.88
10137,S18_3685,1948 Porsche Type 356 Roadster,31,118.68
10138,S24_2022,1938 Cadillac V-16 Presidential Limousine,33,38.53
10138,S24_1937,1939 Chevrolet Deluxe Coupe,22,33.19
10138,S18_2325,1932 Model A Ford J-Coupe,38,114.42
10138,S24_3969,1936 Mercedes Benz 500k Roadster,29,32.82
10138,S18_2248,1911 Ford Town Car,22,51.46
10138,S18_1749,1917 Grand Touring Sedan,33,149.6
10138,S18_4409,1932 Alfa Romeo 8C2300 Spider Sport,47,79.15
10138,S18_4933,1957 Ford Thunderbird,23,64.86
10138,S24_2887,1952 Citroen-15CV,30,96.3
10138,S24_2766,1949 Jaguar XK 120,28,73.6
10138,S24_3191,1969 Chevrolet Camaro Z28,49,77.05
10138,S24_1046,1970 Chevy Chevelle SS 454,45,59.53
10138,S24_3432,2002 Chevy Corvette,21,99.58
10139,S18_2949,1913 Ford Model T Speedster,46,91.18
10139,S18_3136,18th Century Vintage Horse Carriage,20,101.58
10139,S18_2957,1934 Ford V8 Coupe,20,52.47
10139,S24_4258,1936 Chrysler Airflow,29,93.49
10139,S18_3320,1917 Maxwell Touring Car,30,81.35
10139,S18_1367,1936 Mercedes-Benz 500K Special Roadster,49,52.83
10139,S18_1342,1937 Lincoln Berline,31,89.38
10139,S18_2795,1928 Mercedes-Benz SSK,41,151.88
10140,S24_2300,1962 Volkswagen Microbus,47,118.84
10140,S18_2432,1926 Ford Fire Engine,46,51.05
10140,S32_1268,1980's GM Manhattan Express,26,87.64
10140,S10_4962,1962 LanciaA Delta 16V,26,131.49
10140,S18_4600,1940s Ford truck,40,100.5
10140,S700_2824,1982 Camaro Z28,36,101.15
10140,S32_3522,1996 Peterbilt 379 Stake Bed with Outrigger,28,62.05
10140,S12_1666,1958 Setra Bus,38,118.9
10140,S18_4668,1939 Cadillac Limousine,29,40.25
10140,S18_1097,1940 Ford Pickup Truck,32,95.67
10140,S10_1949,1952 Alpine Renault 1300,37,186.44
10141,S24_4048,1992 Porsche Cayenne Turbo Silver,40,104.09
10141,S24_1444,1970 Dodge Coronet,20,50.86
10141,S50_1392,Diamond T620 Semi-Skirted Tanker,44,94.92
10141,S18_2238,1998 Chrysler Plymouth Prowler,39,160.46
10141,S12_4473,1957 Chevy Pickup,21,114.95
10141,S24_2840,1958 Chevy Corvette Limited Edition,21,32.18
10141,S32_2509,1954 Greyhound Scenicruiser,24,53.03
10141,S18_2319,1964 Mercedes Tour Bus,47,103.09
10141,S18_3232,1992 Ferrari 360 Spider red,34,143.94
10142,S24_3151,1912 Ford Model T Delivery Wagon,49,74.35
10142,S700_1138,The Schooner Bluenose,41,55.34
10142,S700_3505,The Titanic,21,92.16
10142,S700_3962,The Queen Mary,38,91.37
10142,S72_3212,Pont Yacht,39,46.96
10142,S24_2011,18th century schooner,33,114.29
10142,S18_4522,1904 Buick Runabout,24,79.87
10142,S18_3140,1903 Ford Model A,47,129.76
10142,S700_1938,The Mayflower,43,77.08
10142,S18_3259,Collectable Wooden Train,22,95.8
10142,S12_3891,1969 Ford Falcon,46,167.83
10142,S12_1108,2001 Ferrari Enzo,33,166.24
10142,S12_3148,1969 Corvair Monza,33,140.5
10142,S50_1514,1962 City of Detroit Streetcar,42,56.24
10142,S18_4027,1970 Triumph Spitfire,24,122.08
10142,S32_3207,1950's Chicago Surface Lines Streetcar,42,60.9
10143,S50_1341,1930 Buick Marquette Phaeton,34,34.91
10143,S700_1691,American Airlines: B767-300,36,86.77
10143,S700_3167,F/A 18 Hornet 1/72,28,70.4
10143,S700_2466,America West Airlines B757-200,26,79.78
10143,S700_4002,American Airlines: MD-11S,34,65.15
10143,S24_3949,Corsair F4U ( Bird Cage),28,55.96
10143,S18_1662,1980s Black Hawk Helicopter,32,126.15
10143,S24_2841,1900s Vintage Bi-Plane,27,63.71
10143,S24_3420,1937 Horch 930V Limousine,33,59.83
10143,S72_1253,Boeing X-32A JSF,37,49.66
10143,S700_2047,HMS Bounty,26,87.8
10143,S18_3856,1941 Chevrolet Special Deluxe Cabriolet,34,99.52
10143,S18_3029,1999 Yamaha Speed Boat,46,70.54
10143,S24_3816,1940 Ford Delivery Sedan,23,74.64
10143,S10_4757,1972 Alfa Romeo GTA,49,133.28
10143,S700_2610,The USS Constitution Ship,31,69.39
10144,S32_4289,1928 Ford Phaeton Deluxe,20,56.41
10145,S32_2206,1982 Ducati 996 R,31,39.43
10145,S50_4713,2002 Yamaha YZR M1,38,73.22
10145,S24_2360,1982 Ducati 900 Monster,27,56.1
10145,S32_4485,1974 Ducati 350 Mk3 Desmo,27,95.93
10145,S12_2823,2002 Suzuki XREO,49,146.1
10145,S10_1678,1969 Harley Davidson Ultimate Chopper,45,76.56
10145,S24_1578,1997 BMW R 1100 S,43,103.68
10145,S10_4698,2003 Harley-Davidson Eagle Drag Bike,33,154.93
10145,S10_2016,1996 Moto Guzzi 1100i,37,104.67
10145,S18_2625,1936 Harley Davidson El Knucklehead,30,52.7
10145,S24_2000,1960 BSA Gold Star DBD34,47,63.98
10145,S32_1374,1997 BMW F650 ST,33,99.89
10145,S700_2834,ATA: B757-300,20,113.9
10145,S18_2581,P-51-D Mustang,30,71.81
10145,S24_4278,1900s Vintage Tri-Plane,33,71.73
10145,S24_1785,1928 British Royal Navy Airplane,40,87.54
10146,S18_4721,1957 Corvette Convertible,29,130.94
10146,S18_3782,1957 Vespa GS150,47,60.3
10147,S24_2972,1982 Lamborghini Diablo,25,33.23
10147,S24_3856,1956 Porsche 356A Coupe,23,123.58
10147,S18_1889,1948 Porsche 356-A Roadster,26,70.84
10147,S12_4675,1969 Dodge Charger,33,97.89
10147,S12_3380,1968 Dodge Charger,31,110.39
10147,S24_3371,1971 Alpine Renault 1600s,30,48.98
10147,S12_1099,1968 Ford Mustang,48,161.49
10147,S12_3990,1970 Plymouth Hemi Cuda,21,74.21
10147,S18_3482,1976 Ford Gran Torino,37,129.35
10147,S18_3278,1969 Dodge Super Bee,36,74.78
10147,S24_4620,1961 Chevrolet Impala,31,72.76
10148,S18_4409,1932 Alfa Romeo 8C2300 Spider Sport,34,83.75
10148,S18_4933,1957 Ford Thunderbird,29,66.28
10148,S24_2887,1952 Citroen-15CV,34,115.09
10148,S24_2766,1949 Jaguar XK 120,21,77.24
10148,S24_3191,1969 Chevrolet Camaro Z28,31,71.91
10148,S24_1046,1970 Chevy Chevelle SS 454,25,65.41
10148,S24_3432,2002 Chevy Corvette,27,96.37
10148,S24_1628,1966 Shelby Cobra 427 S/C,47,46.29
10148,S18_1589,1965 Aston Martin DB5,47,108.26
10148,S18_2870,1999 Indy 500 Monte Carlo SS,27,113.52
10148,S18_3685,1948 Porsche Type 356 Roadster,28,135.63
10148,S18_1984,1995 Honda Civic,25,136.56
10148,S18_1129,1993 Mazda RX-7,23,114.65
10148,S18_3232,1992 Ferrari 360 Spider red,32,143.94
10149,S24_4258,1936 Chrysler Airflow,20,90.57
10149,S18_3320,1917 Maxwell Touring Car,42,89.29
10149,S18_1367,1936 Mercedes-Benz 500K Special Roadster,30,48.52
10149,S18_1342,1937 Lincoln Berline,50,87.33
10149,S18_2795,1928 Mercedes-Benz SSK,23,167.06
10149,S24_2022,1938 Cadillac V-16 Presidential Limousine,49,39.87
10149,S24_1937,1939 Chevrolet Deluxe Coupe,36,31.2
10149,S18_2325,1932 Model A Ford J-Coupe,33,125.86
10149,S24_3969,1936 Mercedes Benz 500k Roadster,26,38.57
10149,S18_2248,1911 Ford Town Car,24,50.85
10149,S18_1749,1917 Grand Touring Sedan,34,156.4
10150,S10_4962,1962 LanciaA Delta 16V,20,121.15
10150,S18_4600,1940s Ford truck,49,111.39
10150,S700_2824,1982 Camaro Z28,20,95.08
10150,S32_3522,1996 Peterbilt 379 Stake Bed with Outrigger,49,62.05
10150,S12_1666,1958 Setra Bus,30,135.3
10150,S18_4668,1939 Cadillac Limousine,30,47.29
10150,S18_1097,1940 Ford Pickup Truck,34,95.67
10150,S10_1949,1952 Alpine Renault 1300,45,182.16
10150,S18_2949,1913 Ford Model T Speedster,47,93.21
10150,S18_3136,18th Century Vintage Horse Carriage,26,97.39
10150,S18_2957,1934 Ford V8 Coupe,30,56.21
10151,S50_1392,Diamond T620 Semi-Skirted Tanker,26,108.81
10151,S18_2238,1998 Chrysler Plymouth Prowler,43,152.27
10151,S12_4473,1957 Chevy Pickup,24,114.95
10151,S24_2840,1958 Chevy Corvette Limited Edition,30,29.35
10151,S32_2509,1954 Greyhound Scenicruiser,41,43.29
10151,S18_2319,1964 Mercedes Tour Bus,49,106.78
10151,S18_3232,1992 Ferrari 360 Spider red,21,167.65
10151,S24_2300,1962 Volkswagen Microbus,42,109.9
10151,S18_2432,1926 Ford Fire Engine,39,58.34
10151,S32_1268,1980's GM Manhattan Express,27,84.75
10152,S18_4027,1970 Triumph Spitfire,35,117.77
10152,S32_3207,1950's Chicago Surface Lines Streetcar,33,57.17
10152,S24_4048,1992 Porsche Cayenne Turbo Silver,23,112.37
