orderNumber,orderDate
10219,2004-02-10
10220,2004-02-12
10221,2004-02-18
10222,2004-02-19
10223,2004-02-20
10224,2004-02-21
10225,2004-02-22
10226,2004-02-26
10227,2004-03-02
10228,2004-03-10
10229,2004-03-11
10230,2004-03-15
10231,2004-03-19
10232,2004-03-20
10233,2004-03-29
10234,2004-03-30
10235,2004-04-02
10236,2004-04-03
10237,2004-04-05
10238,2004-04-09
10239,2004-04-12
10240,2004-04-13
10241,2004-04-13
10242,2004-04-20
10243,2004-04-26
10244,2004-04-29
10245,2004-05-04
10246,2004-05-05
10247,2004-05-05
10248,2004-05-07
10249,2004-05-08
10250,2004-05-11
10251,2004-05-18
10252,2004-05-26
10253,2004-06-01
10254,2004-06-03
10255,2004-06-04
10256,2004-06-08
10257,2004-06-14
10258,2004-06-15
10259,2004-06-15
10260,2004-06-16
10261,2004-06-17
10262,2004-06-24
10263,2004-06-28
10264,2004-06-30
10265,2004-07-02
10266,2004-07-06
10267,2004-07-07
10268,2004-07-12
10269,2004-07-16
10270,2004-07-19
10271,2004-07-20
10272,2004-07-20
10273,2004-07-21
10274,2004-07-21
10275,2004-07-23
10276,2004-08-02
10277,2004-08-04
10278,2004-08-06
10279,2004-08-09
10280,2004-08-17
10281,2004-08-19
10282,2004-08-20
10283,2004-08-20
10284,2004-08-21
10285,2004-08-27
10286,2004-08-28
10287,2004-08-30
10288,2004-09-01
10289,2004-09-03
10290,2004-09-07
10291,2004-09-08
10292,2004-09-08
10293,2004-09-09
10294,2004-09-10
10295,2004-09-10
10296,2004-09-15
10297,2004-09-16
10298,2004-09-27
10299,2004-09-30
10303,2004-10-06
10304,2004-10-11
10305,2004-10-13
10306,2004-10-14
10307,2004-10-14
10308,2004-10-15
10309,2004-10-15
10310,2004-10-16
10311,2004-10-16
10312,2004-10-21
10313,2004-10-22
10314,2004-10-22
10315,2004-10-29
10316,2004-11-01
10348,2004-11-01
10317,2004-11-02
10318,2004-11-02
10319,2004-11-03
10320,2004-11-03
10321,2004-11-04
10322,2004-11-04
10323,2004-11-05
10324,2004-11-05
10325,2004-11-05
10326,2004-11-09
10327,2004-11-10
10328,2004-11-12
10329,2004-11-15
10330,2004-11-16
10331,2004-11-17
10332,2004-11-17
10333,2004-11-18
10334,2004-11-19
10335,2004-11-19
10336,2004-11-20
10337,2004-11-21
10338,2004-11-22
10339,2004-11-23
10340,2004-11-24
10341,2004-11-24
10342,2004-11-24
10343,2004-11-24
10344,2004-11-25
10345,2004-11-25
10346,2004-11-29
10347,2004-11-29
10349,2004-12-01
10350,2004-12-02
10351,2004-12-03
10352,2004-12-03
10353,2004-12-04
10354,2004-12-04
10355,2004-12-07
10356,2004-12-09
10357,2004-12-10
10358,2004-12-10
10359,2004-12-15
10360,2004-12-16
10361,2004-12-17
10362,2005-01-05
10363,2005-01-06
10364,2005-01-06
10365,2005-01-07
10366,2005-01-10
10367,2005-01-12
10368,2005-01-19
10369,2005-01-20
10370,2005-01-20
10371,2005-01-23
10372,2005-01-26
10373,2005-01-31
10374,2005-02-02
10375,2005-02-03
10376,2005-02-08
10377,2005-02-09
10378,2005-02-10
10379,2005-02-10
10380,2005-02-16
10381,2005-02-17
10382,2005-02-17
10383,2005-02-22
10384,2005-02-23
10385,2005-02-28
10386,2005-03-01
10387,2005-03-02
10388,2005-03-03
10389,2005-03-03
10390,2005-03-04
10391,2005-03-09
10392,2005-03-10
10393,2005-03-11
10394,2005-03-15
10395,2005-03-17
10396,2005-03-23
10397,2005-03-28
10398,2005-03-30
10399,2005-04-01
10400,2005-04-01
10401,2005-04-03
10402,2005-04-07
10403,2005-04-08
10404,2005-04-08
10405,2005-04-14
10406,2005-04-15
10407,2005-04-22
10408,2005-04-22
10409,2005-04-23
10410,2005-04-29
10411,2005-05-01
10412,2005-05-03
10413,2005-05-05
10414,2005-05-06
10415,2005-05-09
10416,2005-05-10
10417,2005-05-13
10418,2005-05-16
10419,2005-05-17
10420,2005-05-29
10421,2005-05-29
10422,2005-05-30
10423,2005-05-30
10424,2005-05-31
10425,2005-05-31
